City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,princeville,45.7668,-61.2985,17.64,92,100,2.57,CA,1720241616
296,alo,6.5486,4.2686,24.59,90,86,2.57,NG,1720241617
297,kinmparana,12.8402,-4.9199,26.01,77,95,4.57,ML,1720241618
298,new plymouth,-39.0667,174.0833,9.62,97,22,2.68,NZ,1720241619
299,taoudenni,22.6783,-3.9836,36.51,23,10,3.38,ML,1720241621
300,guntakal junction,15.1667,77.3833,28.85,57,100,7.92,IN,1720241622
301,franceville,-1.6333,13.5836,20.86,87,67,1.01,GA,1720241623
302,mamuju,-2.6748,118.8885,29.15,74,63,1.72,ID,1720241624
303,petauke,-14.2426,31.3253,13.79,41,5,1.43,ZM,1720241626
304,gadzhiyevo,69.2551,33.3362,16.37,92,100,5.06,RU,1720241627
305,berezovo,63.9381,65.0419,20.56,46,7,2.11,RU,1720241628
306,nizhniy odes,63.6445,54.856,23.89,47,55,4.0,RU,1720241629
307,brisas de zicatela,15.8369,-97.0419,27.28,84,0,1.98,MX,1720241630
308,antsiranana,-12.2787,49.2917,22.42,68,20,2.06,MG,1720241632
309,cabo san lucas,22.8909,-109.9124,29.78,66,18,5.42,MX,1720241379
310,warrnambool,-38.3833,142.4833,13.25,61,0,4.64,AU,1720241473
311,okhotsk,59.3833,143.3,13.87,76,71,6.11,RU,1720241635
312,bijawar,24.6333,79.5,29.84,69,100,6.55,IN,1720241636
313,swift current,50.2834,-107.8014,15.45,72,0,2.57,CA,1720241490
314,mandera,3.9366,41.867,25.48,65,100,7.18,KE,1720241639
315,hamilton,39.1834,-84.5333,22.07,94,0,2.06,US,1720241640
316,puerto santa,-8.9906,-78.6456,18.19,88,95,4.91,PE,1720241641
317,grand-lahou,5.1367,-5.0242,23.82,92,93,2.45,CI,1720241642
318,nemuro,43.3236,145.575,15.67,95,89,6.82,JP,1720241643
319,zhezqazghan,47.7833,67.7667,22.32,68,75,6.0,KZ,1720241645
320,soure,-0.7167,-48.5233,24.91,91,89,4.53,BR,1720241646
321,port elizabeth,-33.918,25.5701,12.16,63,0,3.09,ZA,1720241647
322,pacific grove,36.6177,-121.9166,19.56,78,0,3.6,US,1720241473
323,mckinleyville,40.9465,-124.1006,22.92,83,0,0.0,US,1720241649
324,marsh harbour,26.5412,-77.0636,27.62,64,54,0.4,BS,1720241534
325,tazovsky,67.4667,78.7,10.64,62,1,8.82,RU,1720241652
326,bata,1.8639,9.7658,22.92,100,40,1.54,GQ,1720241653
327,sokoni,-6.4333,39.55,25.73,73,34,5.07,TZ,1720241654
328,oranjemund,-28.55,16.4333,15.08,26,51,7.45,NA,1720241655
329,greenville,35.6127,-77.3663,27.09,92,40,3.6,US,1720241656
330,norilsk,69.3535,88.2027,6.6,83,100,3.32,RU,1720241658
331,strathmore,51.0501,-113.3852,19.67,52,81,4.12,CA,1720241659
332,westport,41.1415,-73.3579,24.59,89,100,2.57,US,1720241660
333,casarza ligure,44.2719,9.447,21.26,80,9,1.34,IT,1720241661
334,ramadi,33.4226,43.3058,34.01,15,0,12.2,IQ,1720241662
335,mahibadhoo,3.7833,72.9667,29.24,71,96,3.22,MV,1720241664
336,kidal,18.4411,1.4078,30.97,36,20,3.53,ML,1720241665
337,belmonte,-15.8631,-38.8828,23.04,91,79,3.43,BR,1720241666
338,newman,37.3138,-121.0208,33.49,57,0,3.91,US,1720241667
339,lochbuie,40.0072,-104.7161,20.8,34,40,4.63,US,1720241668
340,roma,43.2128,-75.4557,24.85,90,0,1.54,US,1720241379
341,labytnangi,66.6572,66.4183,17.34,56,11,1.59,RU,1720241671
342,weno,7.4515,151.8468,31.97,74,40,3.09,FM,1720241672
343,shilin,24.8188,103.3324,23.51,74,94,4.66,CN,1720241673
344,creston,41.0586,-94.3614,16.98,100,0,2.57,US,1720241674
345,luanda,-8.8368,13.2343,20.0,94,75,1.54,AO,1720241676
346,batabano,22.7164,-82.2881,27.34,86,100,3.49,CU,1720241677
347,santo antonio do amparo,-20.9464,-44.9189,14.35,63,1,1.01,BR,1720241678
348,juruti,-2.1522,-56.0922,25.04,77,54,1.44,BR,1720241679
